STORE_NAME,Channel
99 CENTS ONLY STORES,DISCOUNT
BILL'S ACE HARDWARE,HARDWARE
DAVIS ACE HARDWARE,HARDWARE
Hibbert Lumber,HARDWARE
SLUMBERYER LUMBER INC,HARDWARE
FRIEDMAN HOME IMPROVEMENT,HOME IMPROVEMENT
HD Supply Home Improvement Solutions,HOME IMPROVEMENT
NORTH BAY LIGHTING,HOME IMPROVEMENT
PIERSON BUILDING CENTER,HOME IMPROVEMENT
PROBUILD,HOME IMPROVEMENT
THE HOME DEPOT,HOME IMPROVEMENT
COSTCO,MEMBERSHIP CLUB
BAKERSFIELD 97 STORE,DISCOUNT
DOLLAR MART,DISCOUNT
DOLLAR TREE,DISCOUNT
GOODWILL STORE,DISCOUNT
MOE DISOCUNT STORE,DISCOUNT
SALVATION ARMY,DISCOUNT
99 RANCH MARKET,GROCERY
CENTER STREET MARKET,GROCERY
COLUMBUS MARKET,GROCERY
DAYLITE MARKET,GROCERY
EDISON MARKET,GROCERY
FIESTA FOOD MARKET,GROCERY
Food Maxx,GROCERY
GREENFIELD MARKET,GROCERY
GROCERY OUTLET,GROCERY
LA ROSA MKT,GROCERY
LION SUPER MARKET,GROCERY
LUCKY 7,GROCERY
MURPHY'S MARKET,GROCERY
PACIFIC SUPERMARKET,GROCERY
PUNDS MARKET,GROCERY
ROBERT MARKET,GROCERY
ACE HARDWARE,HARDWARE
ACE HARDWARE OF FREEDOM,HARDWARE
ACE HARDWARE OF GILROY,HARDWARE
ACE HARDWARE OF MARINA,HARDWARE
ACE HARDWARE OF WATSONVILLE,HARDWARE
ACE HARDWARE/WATSONVILLE,HARDWARE
ACE LOS GATOS HARDWARE,HARDWARE
BRENTWOOD ACE HARDWARE,HARDWARE
BROWNIES ACE HARDWARE,HARDWARE
CHU SUPPLY,HARDWARE
CORNING ACE HARDWARE,HARDWARE
DALE HARDWARE,HARDWARE
ELLIS ACE HARDWARE,HARDWARE
FAIRFAX LUMBER COMPANY,HARDWARE
FREEDOM ACE HARDWARE,HARDWARE
GOLDEN CITY BUILDING SUPPLY,HARDWARE
GOODMAN BUILDING SUPPLY CO,HARDWARE
MARIN ACE HARDWARE,HARDWARE
MC COY HDWE & FARM SUPPLY,HARDWARE
NATIONAL HARDWARE SUPPLY,HARDWARE
OAKLEY ACE HARDWARE,HARDWARE
ORLAND ACE HARDWARE,HARDWARE
PACIFIC GROVE HARDWARE,HARDWARE
PARSONS LUMBER & HARDWARE,HARDWARE
PINI ACE HARDWARE,HARDWARE
REEDLEY LUMBER & ACE HDW,HARDWARE
RURAL SUPPLY HARDWARE,HARDWARE
SANTA YNEZ VALLEY HDW INC,HARDWARE
STANDARD 5 & 10 ACE,HARDWARE
WALTER R HARDESTER INC,HARDWARE
WILLOWS HARDWARE,HARDWARE
Northern Lights,HOME IMPROVEMENT
RIVERSIDE LIGHTING,HOME IMPROVEMENT
FRY'S ELECTRONICS,MASS MERCHANDISE
MONTEREY SANITARY SUPPLY,MASS MERCHANDISE
Online,OTHER
79 CENTS PLUS DISCOUNT,DISCOUNT
98 CENTS & UP,DISCOUNT
Bargain King Discount,DISCOUNT
DAISO SUPERSTORE,DISCOUNT
DISCOUNT GENERAL MERCHANDISE,DISCOUNT
DOLLAR CITY & MORE,DISCOUNT
AMIGO?S MKT,GROCERY
AMIGOS MARKET,GROCERY
ARTEAGA'S MARKET,GROCERY
ASIA SUPERMARKET,GROCERY
CHAPPERRAL SUPER,GROCERY
CONCORD PRODUCE,GROCERY
DRAEGERS MARKET,GROCERY
EL MERCADO NOPAL,GROCERY
EverGreen Produce,GROCERY
FAMILY FOOD MARKET,GROCERY
FIESTA LATINA,GROCERY
FRESNO CENTRAL MARKET,GROCERY
FRESNO SUPER MARKET,GROCERY
Farmers Market,GROCERY
GAVILAN MARKET,GROCERY
GOLDEN APPLE SUPERMARKET,GROCERY
GOLDEN DOW INC,GROCERY
HAYWARD PRODUCE MARKET,GROCERY
INDOPAK MARKET,GROCERY
ISLAND PACIFIC SUPERMARKET,GROCERY
KUKJE SUPERMARKET,GROCERY
LA ESPERANZA MERCADO,GROCERY
LA GRANDE MARKET,GROCERY
LA HACIENDA MARKET,GROCERY
LA LOMA #11,GROCERY
LOS AMIGOS FOOD,GROCERY
LOS RANCHEROS MARKET,GROCERY
LUCKY MARKET,GROCERY
M & R MARKET,GROCERY
MARINA FOODS,GROCERY
MARINA GROCERY,GROCERY
MAXIM SUPERMARKET,GROCERY
MOLLIE STONES'S MARKETS,GROCERY
MONTE VISTA MARKET,GROCERY
Mexico Supermarket,GROCERY
RANCHO MARKET,GROCERY
REYNOSO MARKET,GROCERY
SHIELDS FOOD MARKET,GROCERY
STORY SUPERMARKET,GROCERY
SUNSET SUPERMARKET,GROCERY
TC FRESH MARKET,GROCERY
TROPICANA FOODS,GROCERY
GUERNEVILLE FULTON ACE,HARDWARE
HAYWARD ACE,HARDWARE
HUNTER ACE HARDWARE,HARDWARE
LAKE BUILDER SUPPLY HARDWARE,HARDWARE
LAKE OF THE PINES ACE HDW,HARDWARE
$1 SMART OUTLET,DISCOUNT
123 DOLLAR STORE,DISCOUNT
24 HOUR WATER,DISCOUNT
97 CENT DISCOUNT,DISCOUNT
97 CENTS PLUS STORE,DISCOUNT
97 CENTS STORE,DISCOUNT
97 DISCOUNT STORE-LOS ANGELES,DISCOUNT
98 CENT DISCOUNT STORE - SANTA ANA,DISCOUNT
98 CENT S & S MARKET,DISCOUNT
98 CENTS & MORE,DISCOUNT
98 CENTS PLUS CONVENIENCE STORE,DISCOUNT
98 CENTS PLUS DISCOUNT,DISCOUNT
98 CENTS PLUS STORE,DISCOUNT
98 CENTS PLUS STORE- POMONA,DISCOUNT
98 PENNY DISCOUNT STORE,DISCOUNT
99 CENT COST BARGAIN,DISCOUNT
99 CENT DISCOUNT,DISCOUNT
99 CENT OUTLET,DISCOUNT
99 CENT OUTLET - L.A.,DISCOUNT
99 CENT OUTLET-LONG BEACH,DISCOUNT
99 CENT PLUS DISCOUNT & GIFT MART,DISCOUNT
99 CENT PLUS MARKET,DISCOUNT
99 CENT PLUS STORE,DISCOUNT
99 CENT WHAT A BARGAIN STORE,DISCOUNT
99 CENTS BARGAIN MART,DISCOUNT
99 CENTS DEPOT,DISCOUNT
99 CENTS GIFT SHOP,DISCOUNT
99 CENTS ONLY STORE,DISCOUNT
99 CENTS OUTLET,DISCOUNT
99 CENTS OUTLET PLUS PET SUPPLY - LONG B,DISCOUNT
99 CENTS PLUS STORE,DISCOUNT
99 CENTS WORLD,DISCOUNT
99 CHEAP STORE INC,DISCOUNT
99 OUTLET,DISCOUNT
99 PLUS DISCOUNT,DISCOUNT
A+ DISCOUNT STORE,DISCOUNT
ALL SEASONS HOME & GARDEN CENTER,DISCOUNT
ALWAYS DISCOUNT,DISCOUNT
ANDY DISCOUNT STORE,DISCOUNT
ARTESIA DISCOUNT,DISCOUNT
AVA'S 99,DISCOUNT
BARGAIN ESPECIAL,DISCOUNT
BARGAIN PLUS BELLFLOWER,DISCOUNT
BARGAIN WORLD,DISCOUNT
BEST 99,DISCOUNT
BEST BARGAIN,DISCOUNT
BEST BARGAIN - INGLEWOOD,DISCOUNT
BEST DEAL,DISCOUNT
BETTY'S 99 CENT DISCOUNT STORE,DISCOUNT
BIG SAV & 98 CENT MARKET,DISCOUNT
BROTHERS BARGAIN,DISCOUNT
BS 97 CENT,DISCOUNT
BUDGET CENTER,DISCOUNT
BUDGET MART,DISCOUNT
BUDGET STORE,DISCOUNT
CA BEST PRICE,DISCOUNT
CALIFORNIA DOLLAR,DISCOUNT
CENTENNIAL MARKET,DISCOUNT
CENTRAL MART,DISCOUNT
CENTURY DISCOUNT,DISCOUNT
CORNER DOLLAR,DISCOUNT
CROWN DISCOUNT STORE,DISCOUNT
DEL ROSA DISCOUNT MARKET,DISCOUNT
DESERT INDUSTRIES THRIFT SHOP,DISCOUNT
DISCOUNT 4U,DISCOUNT
DISCOUNT CLUB,DISCOUNT
DISCOUNT MAX,DISCOUNT
DOLLAR + MARKET,DISCOUNT
DOLLAR AND CRAFT,DISCOUNT
DOLLAR BARGAIN,DISCOUNT
DOLLAR CITY,DISCOUNT
DOLLAR CITY - LONG BEACH,DISCOUNT
DOLLAR CLUB,DISCOUNT
DOLLAR CLUB - SOUTH GATE,DISCOUNT
DOLLAR DEPOT,DISCOUNT
DOLLAR EXPRESS,DISCOUNT
DOLLAR HOUSE,DISCOUNT
DOLLAR KING PLUS,DISCOUNT
DOLLAR MALL,DISCOUNT
DOLLAR MART PLUS,DISCOUNT
DOLLAR MAX,DISCOUNT
DOLLAR PLUS OR LESS,DISCOUNT
DOLLAR ROWS,DISCOUNT
DOLLAR SMART- COMPTON,DISCOUNT
DOLLAR STORE,DISCOUNT
DOLLAR SUPERSTORE,DISCOUNT
DOLLAR USA DISCOUNT INC.,DISCOUNT
DOLLAR ZONE,DISCOUNT
DOUBLE DISCOUNT MARKET,DISCOUNT
DOUBLE DISCOUNT STORE,DISCOUNT
DURON'S 99 PLACE,DISCOUNT
E & H 98 CENT BARGAIN,DISCOUNT
EKONO 99 CENT,DISCOUNT
EL LOCO DISCOUNT,DISCOUNT
EL MONTE 97 CENTS PLUS STORE,DISCOUNT
EL PUEBLO DISCOUNT,DISCOUNT
EL SUPER 99 CENT STORE,DISCOUNT
ELECTRIC CITY DISCOUNT CENTER,DISCOUNT
ELI'S DISCOUNT STORE,DISCOUNT
ELISA'S 99 CENTS STORE,DISCOUNT
EVERYDAY SWAPMEET PRICE,DISCOUNT
FAMILY THRIFT,DISCOUNT
FONSECA'S DISCOUNT STORE & 99,DISCOUNT
GIANT DOLLAR,DISCOUNT
GOOD NEIGHBOR STORE 99 CENTER,DISCOUNT
GOOD THINGS THRIFT STORE,DISCOUNT
GOODWILL THRIFT STORES,DISCOUNT
GREEN DOLLAR,DISCOUNT
HAPPY FACES PARTY SUPPLIES,DISCOUNT
HENGS 98,DISCOUNT
HOWDY BARGAIN,DISCOUNT
INDIAN HILL DISCOUNT STORE,DISCOUNT
J & L 98 CENT PLUS,DISCOUNT
JASMIN'S DISCOUNT STORE,DISCOUNT
JC 98 CENTS PLUS,DISCOUNT
JUST DEALS,DISCOUNT
JUST DEALS 99 CENTS,DISCOUNT
K & K DISCOUNT INC,DISCOUNT
K DISCOUNT,DISCOUNT
KL 99 CENTS PLUS STORE,DISCOUNT
LA CENTRAL,DISCOUNT
LADI 99 CENT PLUS STORE,DISCOUNT
LIMITED 98 CENTS STORE,DISCOUNT
LM 99 CENT STORE,DISCOUNT
LONG BEACH DISCOUNT MART,DISCOUNT
M&H DOLLAR STORE,DISCOUNT
MERCADO CENTRAL,DISCOUNT
MIKES BARGAIN,DISCOUNT
MISSION PARTY PLUS,DISCOUNT
MONA'S 98 CENT STORE,DISCOUNT
MOORPARK 99 CENTS PLUS MARKET,DISCOUNT
MY 99 CENTS PLUS STORE,DISCOUNT
NEW SKYLAND INC,DISCOUNT
NW DISCOUNT 97 CENT STORE,DISCOUNT
OK DISCOUNT,DISCOUNT
OMG BARGIN,DISCOUNT
ONE DOLLAR & DISCOUNT MART,DISCOUNT
ONE DOLLAR OUTLET STORE,DISCOUNT
ONE DOLLAR PLUS STORE,DISCOUNT
ONE DOLLAR WAREHOUSE,DISCOUNT
ONE DOLLAR WORLD,DISCOUNT
ONE STOP BARGAIN,DISCOUNT
ORIGINAL 99 CENT STORE,DISCOUNT
PALM DISCOUNT,DISCOUNT
PALM DISCOUNT INC,DISCOUNT
PARAMOUNT DISCOUNT,DISCOUNT
PAYLESS DISCOUNT,DISCOUNT
PRICE CLUB,DISCOUNT
PUN 99 CENTS PLUS MARKET,DISCOUNT
PURE FRESH DRINKING WATER 99 CENT,DISCOUNT
Q BARGAIN,DISCOUNT
Q BARGAIN SOUTH GATE,DISCOUNT
Q DOLLAR KING,DISCOUNT
Q Q BARGAIN,DISCOUNT
R.R. MARKET 99 CENT UP,DISCOUNT
RED TAG DISCOUNT WAREHOUSE,DISCOUNT
ROSITA'S 99 DISCOUNT,DISCOUNT
RUEBEN'S 96 CENTS AND BEYOND,DISCOUNT
S&A ONE DOLLAR STORE,DISCOUNT
SANTA ANA 98 CENTS,DISCOUNT
SANTA FE OUTLETS,DISCOUNT
SMART DISCOUNT & MORE,DISCOUNT
SMART DOLLAR & UP,DISCOUNT
SMC OUTLETS,DISCOUNT
SUPER 98 CENTS STORE,DISCOUNT
SUPER BARGAIN,DISCOUNT
SUPER DISCOUNT,DISCOUNT
SUPER DOLLAR PLUS,DISCOUNT
SUPER PENNY MART,DISCOUNT
SUPER SAVER,DISCOUNT
T. P. WATER 98 CENTS,DISCOUNT
THE THRIFT STORE,DISCOUNT
TIENDA DOLLAR,DISCOUNT
TODO DISCOUNT 2,DISCOUNT
TOM DISCOUNT STORE,DISCOUNT
TOYS GIFT 98C,DISCOUNT
TRUE BARGAIN DISCOUNT STORE,DISCOUNT
US WATER PLUS 98 CENTS,DISCOUNT
VALLEY OASIS THRIFT SHOP,DISCOUNT
WRR GROUP,DISCOUNT
DON'S DRUG,DRUG
NORTH RIALTO DRUG,DRUG
7 STAR LIQUOR,GROCERY
A DONG SUPERMARKET,GROCERY
A MARKET,GROCERY
AA MARKET PLACE,GROCERY
ABC FOOD STORE,GROCERY
ABC SUPERMARKET,GROCERY
ACAPULCO MARKET,GROCERY
ADRIAN'S MARKET,GROCERY
ALATORRE MARKET,GROCERY
ALTA DENA EXPRESS,GROCERY
AMAPOLA SUPER DELI & MARKET,GROCERY
AMIGO MARKET,GROCERY
AMIGO MARKET - SAN BERNARDINO,GROCERY
AMIGO'S SEAFOOD MARKET,GROCERY
AMIGOS GROCERS INC,GROCERY
ANA'S MARKET,GROCERY
ANSAR GALLERY,GROCERY
ANTELOPE ACRES MARKET,GROCERY
ARCADIA KOREAN MARKET,GROCERY
ARCADIA SUPERMARKET,GROCERY
ART'S MARKET,GROCERY
ARTESIA PRODUCE MARKET,GROCERY
BAKERS MARKET,GROCERY
BELL MARKET,GROCERY
BEN'S CORNER,GROCERY
BEN'S MARKET,GROCERY
BEST FOOD MARKET,GROCERY
BESTWAY SUPERMARKET,GROCERY
BIG HOME MART,GROCERY
BIG SAVER FOODS,GROCERY
BLOOMINGTON MARKET,GROCERY
BOB'S MARKET,GROCERY
BORACAY ASIAN MARKET,GROCERY
BOTANICA SANTA MARKET,GROCERY
BROTHERS MARKET,GROCERY
CACTUS MARKET,GROCERY
CALI MART,GROCERY
CALIFORNIA MARKET,GROCERY
CARDENAS MARKET,GROCERY
CARNICERIA DEL VALLE,GROCERY
CARNICERIA DEL VALLE 3,GROCERY
CARNICERIA EL TORO LOCO MARKET,GROCERY
CARNICERIA GONZALEZ BAKERY & MARKET,GROCERY
CARNICERIA MONARCA MARKET,GROCERY
CARNICERIA NEZA,GROCERY
CARNICERIA PEREZ,GROCERY
CATALINA MARKET,GROCERY
CERCA FOOD STORE,GROCERY
CHERRY VALLEY MARKET,GROCERY
CIELITO LINDO MARKET,GROCERY
CINCO COVAS MARKET,GROCERY
CIRCLE S FOOD STORE,GROCERY
