name,email,
X,bdjohn@,
X,b,
X,#@%^%#$@#$@#.com,
X,@example.com,
X,Joe Smith <email@example.com>,
X,email.example.com,
X,email@example@example.com,
X,.email@example.com,
X,email.@example.com,
X,email..email@example.com,
X,?????@example.com,
X,email@example.com (Joe Smith),
X,email@example,
X,email@-example.com,
X,email@example.web,
X,email@111.222.333.44444,
X,email@example..com,
X,Abc..123@example.com,
X,plainaddress,
X,#@%^%#$@#$@#.com,
X,@example.com,
X,Joe Smith <email@example.com>,
X,email.example.com,
X,email@example@example.com,
X,.email@example.com,
X,email.@example.com,
X,email..email@example.com,
X,?????@example.com,
X,email@example.com (Joe Smith),
X,email@example,
X,email@-example.com,
X,email@example.web,
X,email@111.222.333.44444,
X,email@example..com,
X,Abc..123@example.com,
X,abc@bad.,
X,bbc@example@,
X,bbc@example!,
X,bbc@example#,
X,bbc@example$,
X,bbc@example%,
X,bbc@example^,
X,bbc@example&,
X,bbc@example*,
X,bbc@example(,
X,bbc@example),
X,bbc@example;,
X,bbc@example..,
X,bbc@example/,
X,bbc@example.@,
