Claim Identification #,Recipient Store Name ,Recipient Store Address,Recipient Store Unit Number,Recipient Store City ,Recipient Store  State,Recipient Store ZipCode,Manufacturer ,Model,Wattage
SCE-2018-Q2-0026527, SANTA ANA MEAT MARKET,1518 S FLOWER ST,,SANTA ANA,CA,92707,"SUNRISE LIGHTING, INC LIGHTING, INC",SLED-11/BR,11
SCE-2018-Q2-0026751, SANTA ANA MEAT MARKET,1518 S FLOWER ST,,SANTA ANA,CA,92707,"SUNRISE LIGHTING, INC LIGHTING, INC",SLED-15/BR40,15
SCE-2018-Q2-0025510, SUPER SAVER,776 S HARBOR BLVD,,SANTA ANA,CA,92704,"SUNRISE LIGHTING, INC LIGHTING, INC",SLED-11/BR,11
SCE-2018-Q2-0025750, SUPER SAVER,776 S HARBOR BLVD,,SANTA ANA,CA,92704,"SUNRISE LIGHTING, INC LIGHTING, INC",SLED-15/BR40,15
SCE-2018-Q2-0026523, SUPER SAVER,776 S HARBOR BLVD,,SANTA ANA,CA,92704,"SUNRISE LIGHTING, INC LIGHTING, INC",SLED-11/BR,11
SCE-2018-Q2-0026781, SUPER SAVER,776 S HARBOR BLVD,,SANTA ANA,CA,92704,"SUNRISE LIGHTING, INC LIGHTING, INC",SLED-15/BR40,15
SCE-2018-Q2-0025591, A MARKET,14286 AMAR RD,,LA PUENTE,CA,91746,"SUNRISE LIGHTING, INC LIGHTING, INC",SLED-11/BR,11
SCE-2018-Q2-0025776, A MARKET,14286 AMAR RD,,LA PUENTE,CA,91746,"SUNRISE LIGHTING, INC LIGHTING, INC",SLED-15/BR40,15
SCE-2018-Q2-0026597, A MARKET,14286 AMAR RD,,LA PUENTE,CA,91746,"SUNRISE LIGHTING, INC LIGHTING, INC",SLED-11/BR,11
SCE-2018-Q2-0026811, A MARKET,14286 AMAR RD,,LA PUENTE,CA,91746,"SUNRISE LIGHTING, INC LIGHTING, INC",SLED-15/BR40,15
SCE-2018-Q2-0025588, EVERYDAY SWAPMEET PRICE,470 E 4TH ST,,PERRIS,CA,92570,"SUNRISE LIGHTING, INC LIGHTING, INC",SLED-11/BR,11
SCE-2018-Q2-0025788, EVERYDAY SWAPMEET PRICE,470 E 4TH ST,,PERRIS,CA,92570,"SUNRISE LIGHTING, INC LIGHTING, INC",SLED-15/BR40,15
SCE-2018-Q2-0026604, EVERYDAY SWAPMEET PRICE,470 E 4TH ST,,PERRIS,CA,92570,"SUNRISE LIGHTING, INC LIGHTING, INC",SLED-11/BR,11
SCE-2018-Q2-0026794, EVERYDAY SWAPMEET PRICE,470 E 4TH ST,,PERRIS,CA,92570,"SUNRISE LIGHTING, INC LIGHTING, INC",SLED-15/BR40,15
SCE-2018-Q2-0025589, GARDEN GROVE MARKET,365 IOWA AVE UNIT A2,A2,RIVERSIDE,CA,92507,"SUNRISE LIGHTING, INC LIGHTING, INC",SLED-11/BR,11
SCE-2018-Q2-0025781, GARDEN GROVE MARKET,365 IOWA AVE UNIT A2,A2,RIVERSIDE,CA,92507,"SUNRISE LIGHTING, INC LIGHTING, INC",SLED-15/BR40,15
SCE-2018-Q2-0026605, GARDEN GROVE MARKET,365 IOWA AVE UNIT A2,A2,RIVERSIDE,CA,92507,"SUNRISE LIGHTING, INC LIGHTING, INC",SLED-11/BR,11
SCE-2018-Q2-0026789, GARDEN GROVE MARKET,365 IOWA AVE UNIT A2,A2,RIVERSIDE,CA,92507,"SUNRISE LIGHTING, INC LIGHTING, INC",SLED-15/BR40,15
SCE-2018-Q2-0025601, LOWRS MARKET,7384 MISSION BLVD,,RIVERSIDE,CA,92509,"SUNRISE LIGHTING, INC LIGHTING, INC",SLED-11/BR,11
SCE-2018-Q2-0025801, LOWRS MARKET,7384 MISSION BLVD,,RIVERSIDE,CA,92509,"SUNRISE LIGHTING, INC LIGHTING, INC",SLED-15/BR40,15
SCE-2018-Q2-0026613, LOWRS MARKET,7384 MISSION BLVD,,RIVERSIDE,CA,92509,"SUNRISE LIGHTING, INC LIGHTING, INC",SLED-11/BR,11
SCE-2018-Q2-0026816, LOWRS MARKET,7384 MISSION BLVD,,RIVERSIDE,CA,92509,"SUNRISE LIGHTING, INC LIGHTING, INC",SLED-15/BR40,15
SCE-2018-Q2-0025603, M&H DOLLAR STORE,710 N STATE ST UNIT A,A,HEMET,CA,92543,"SUNRISE LIGHTING, INC LIGHTING, INC",SLED-11/BR,11
