Claim_ID,NM_CUST,Store Name,ServiceAddress,ServiceUnit,ServiceCity,ServiceState,ServiceZip,Manufacturer,ImplementDesc,ModelNumber
SDGE-2018-3245-10872264-1937618,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED Screw-in R30 12 Watt,BR30DMHO/927CA/2
SDGE-2018-3245-10872264-1937618S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial-LED Screw-in R30 12 Watt,BR30DMHO/927CA/2
SDGE-2018-3245-10872264-1937619,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED Screw-in R30 12 Watt,BR30DMHO/950CA/2
SDGE-2018-3245-10872264-1937619S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial-LED Screw-in R30 12 Watt,BR30DMHO/950CA/2
SDGE-2018-3245-10872264-8905419,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED Screw-in BR30 7 Watt ,BR30DM/927CA/3
SDGE-2018-3245-10872264-8905419S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial-LED Screw-in BR30 7 Watt ,BR30DM/927CA/3
SDGE-2018-3245-10876241-3660966,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED - RefR 9 Watt,BR40DM/950CA/2
SDGE-2018-3245-10876241-3660966S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial-LED - RefR 9 Watt,BR40DM/950CA/2
SDGE-2018-3245-10876241-3660968,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED Screw-in R30 12 Watt,BR30DMHO/950CA/2
SDGE-2018-3245-10876241-3660968S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial-LED Screw-in R30 12 Watt,BR30DMHO/950CA/2
SDGE-2018-3245-10876241-3660969,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,LED - RefR 9 Watt,BR40DM/927CA/2
SDGE-2018-3245-10876241-3660969S,HOME DEPOT USA INC,HOME DEPOT USA INC,1001 EL CAMINO REAL,,ENCINITAS,CA,92024-1300,Feit Electric,Commercial-LED - RefR 9 Watt,BR40DM/927CA/2
